chr	start	end	reps_BP	rps_P
5	25625470	27695064	27189327	4.78e-11
5	36604756	37779380	37279380	5.38e-10
5	41243575	42388948	41743575	8.26e-9
5	42554645	44872958	43190545	5.19e-20
5	50495105	52845789	51383625	1.01e-14
5	53475590	54526126	53976834	6.04e-12
5	59420878	60420878	59920878	3.87e-9
5	60706183	62326332	61424855	5.19e-18
5	62598186	66128581	63725123	3.90e-17
5	66338883	68955394	66904955	3.61e-20
5	71967327	73054733	72544363	1.34e-12
5	74446177	76481015	75707853	1.93e-61
5	77493924	78744113	78094670	3.47e-16
5	80934372	82380028	81552132	7.03e-15
5	86285606	90094246	88674534	7.02e-46
5	91880370	93924307	93169485	4.76e-16
5	94252514	95395636	94876915	3.07e-11
5	95569639	97359577	96520797	3.72e-34
5	103879256	105163194	104663194	2.45e-10
5	105800124	110003862	108153574	4.71e-29
5	112161251	114084244	112837233	4.94e-11
5	115586848	116980994	116379001	4.01e-11
5	117159033	118159033	117659033	1.38e-8
5	119393156	120636966	120053336	2.10e-15
5	122805687	124134029	123356959	3.89e-33
5	124426358	125521939	124996410	2.38e-18
5	126820808	127821525	127321525	3.87e-8
5	130361725	132705191	131871665	1.68e-12
5	133991764	135068907	134528909	6.55e-22
5	136686566	139048045	138172290	1.50e-15
5	139149225	141348828	139681563	1.45e-16
5	141689778	144092780	142431018	1.14e-12
5	144604698	145610848	145106415	1.41e-9
5	146015831	147015831	146515831	1.30e-9
5	151133427	154730049	154158333	2.39e-25
5	155993237	157212633	156631679	1.60e-9
5	158049689	159561734	159003867	1.15e-15
5	163481918	164540381	164034856	1.18e-8
5	165258043	169416670	166414181	1.05e-15
5	170307260	171820413	171153148	9.83e-23
5	172997321	174467163	173912883	4.48e-10
5	176582192	177830949	177089630	1.48e-19
5	179064673	180064673	179564673	3.01e-8
5	180341324	181341324	180841324	3.83e-8
6	4671685	6491357	5262277	1.07e-12
6	8048397	10525647	9509797	1.61e-12
6	11568371	14584404	12142584	2.30e-21
6	14870082	15938337	15371012	4.08e-10
6	18007622	19210270	18563660	2.33e-11
6	19213104	21243270	20693466	8.40e-17
6	21356590	22423281	21921475	7.07e-15
6	23228966	36874404	34683403	7.73e-48
6	37192341	46923168	40394284	6.10e-59
6	48011429	52460824	50849174	9.54e-99
6	53231152	55878351	55148493	4.21e-15
6	56466097	57466097	56966097	1.20e-8
6	60477855	64468225	63453902	7.64e-15
6	68655625	70140939	69251367	6.59e-12
6	70932811	71932811	71432811	3.24e-8
6	71980905	73731743	72954091	1.61e-14
6	77015662	78125055	77620009	1.22e-8
6	78135532	79274669	78681643	6.40e-10
6	79905891	81141332	80483364	6.48e-9
6	82167309	83309437	82747046	5.40e-9
6	84083608	85341224	84583608	4.82e-9
6	86346320	87424838	86855550	1.11e-9
6	88916436	90120880	89597654	3.47e-12
6	90806541	91806541	91306541	2.48e-9
6	92359140	93424536	92866359	9.13e-10
6	96426974	98879020	97952775	1.03e-22
6	99652221	102066227	100152221	1.90e-17
6	103790832	104996422	104360389	1.46e-14
6	106721274	109199520	108575012	7.23e-31
6	117805317	120516924	119852355	3.19e-15
6	124074310	125124456	124603886	9.38e-14
6	125202409	128028146	125769131	4.30e-22
6	129524646	130638768	130058137	1.32e-12
6	130993138	132152792	131590515	8.76e-20
6	136794455	138096100	137345260	9.29e-12
6	139465099	143387701	141315331	1.41e-19
6	146523994	147671606	147036261	2.04e-9
6	152098784	154584916	153106130	1.13e-14
6	154981146	156873118	156352563	1.08e-9
6	159845738	160855621	160355293	3.32e-9
6	162013319	164211969	162669746	1.37e-19
6	165467353	166680223	166002540	2.42e-12
6	168759955	169759955	169259955	2.82e-8
6	169796868	170941090	170296868	3.84e-10
7	327396	4578745	2038497	1.95e-22
7	4807815	7242696	6719307	4.08e-11
7	11350851	12744382	12216922	1.03e-9
7	13477314	15382805	13987458	6.79e-11
7	20910913	22017744	21430918	5.49e-15
7	23729573	24932092	24431797	6.54e-9
7	26666817	28670334	28147492	4.08e-12
7	31720553	33463559	32298725	1.61e-12
7	34401506	35703642	34953023	9.00e-12
7	38513531	39981533	39364260	1.86e-10
7	40804206	41861509	41353612	1.38e-8
7	44225539	45279845	44751389	1.21e-18
7	48905841	51097225	49502717	1.57e-16
7	67682287	68803309	68189285	1.02e-10
7	68949382	71141324	70394132	4.29e-17
7	71456570	79928779	77002357	8.97e-58
7	86129420	87207753	86690445	3.99e-9
7	92953396	96284097	93577301	3.47e-19
7	98793815	101666177	99423183	1.71e-14
7	103261796	104390065	103782095	4.11e-27
7	107486869	110088286	109109524	1.91e-9
7	111022917	112228398	111720623	2.40e-10
7	112682091	115790719	113333307	1.56e-20
7	121797244	123369647	122310911	7.58e-17
7	126577672	128699810	127081767	2.77e-9
7	130145454	131257844	130757844	9.48e-10
7	131345463	132435088	131915849	2.20e-11
7	135105106	136209894	135661514	2.93e-11
7	137207941	138426550	137763350	4.28e-14
7	138595476	140681053	139189670	8.68e-18
7	147425205	148533136	147961447	8.68e-11
7	150417846	151626052	150948446	1.58e-12
7	157183103	158814539	158236648	2.94e-10
8	2577863	3577863	3077863	3.52e-8
8	3614144	4770789	4165670	1.49e-9
8	5908662	6993352	6462571	3.87e-10
8	7730708	12537975	10952740	2.31e-26
8	13683928	14901282	14227980	2.35e-13
8	15035871	16249804	15699325	4.40e-9
8	16641436	18550334	18041781	1.79e-9
8	19266891	24035220	20811113	2.73e-13
8	25391179	26410465	25899733	9.82e-10
8	26762424	28836971	28194576	7.08e-22
8	30462338	35162001	30996517	1.65e-21
8	37959880	38986981	38468886	3.97e-13
8	54819484	55925653	55377926	8.09e-11
8	58724054	59764488	59261841	2.27e-9
8	60594891	61804314	61165258	2.88e-16
8	62903207	65187138	63789828	3.02e-13
8	65781936	68085704	66284093	7.36e-13
8	69612681	70861133	70158860	1.62e-8
8	72014039	74414330	72537705	1.74e-19
8	74885570	78909879	76310853	1.20e-28
8	79938348	81049687	80484870	2.40e-22
8	81548808	82679816	82048809	1.19e-8
8	83378634	85367382	84177202	1.06e-15
8	85742640	89194338	86321176	4.04e-14
8	91670373	92857071	92284809	2.12e-13
8	93122640	95264898	94685022	1.35e-20
8	100421912	101486446	100957300	1.18e-11
8	103750333	105952043	104323810	5.16e-10
8	110543902	112091857	111348473	4.48e-12
8	114924157	116616729	115738322	9.65e-20
8	116954594	118547721	117855454	5.24e-14
8	119652765	120652765	120152765	8.90e-9
8	122610274	123659792	123138750	3.99e-10
8	124963528	125995147	125469835	2.26e-16
8	127626960	128627393	128127392	2.37e-8
8	129474612	130945527	130347762	1.47e-9
8	131348359	132373555	131869551	2.43e-9
8	136612954	138400481	137202985	9.22e-15
8	141101120	144827537	142252830	7.48e-17
9	1697987	2701555	2197987	1.74e-11
9	6379632	8042967	6959840	5.34e-11
9	8339513	9345911	8839513	2.05e-8
9	9626428	10674317	10126428	6.41e-11
9	10774206	12915068	11854277	5.09e-15
9	13360869	17287479	15647350	8.31e-37
9	19406942	20565587	19949112	7.41e-12
9	22692480	24605631	23362313	1.89e-17
9	27109781	30188259	28414627	2.63e-61
9	30514565	31746800	31014565	9.01e-10
9	33151962	35186160	33978017	5.44e-18
9	35276994	36276994	35776994	9.57e-9
9	36462226	37879495	37129499	2.05e-19
9	69421082	70442913	69921082	1.91e-8
9	70479711	71793908	71276305	6.38e-17
9	76189127	80190085	77842360	5.51e-15
9	81054840	82081600	81567606	5.62e-13
9	83597665	85230505	84683451	9.52e-12
9	85757124	86863573	86284015	5.24e-11
9	88951766	90115832	89597695	1.38e-13
9	90904763	91926574	91424691	4.49e-15
9	92661958	95401091	93675283	2.40e-16
9	98213943	102285403	100371906	3.14e-19
9	105804131	107399241	106899241	3.63e-10
9	108670062	109696466	109170062	6.49e-11
9	113267128	114273568	113773130	3.37e-9
9	114531134	120692366	117614900	6.91e-27
9	121332060	122383551	121878562	5.42e-14
9	122814270	125883785	123863230	5.65e-16
9	126064253	127258176	126646234	6.69e-19
9	127693589	129931546	128253000	1.42e-17
9	130396500	131432693	130913078	1.65e-26
9	131502929	132570702	132070687	1.53e-8
9	133075081	134120172	133613233	3.50e-13
9	134597939	135597939	135097939	3.77e-10
9	136797529	138211544	137362737	1.80e-20
10	2099759	3132266	2624642	1.33e-9
10	3373309	4384768	3884768	1.24e-8
10	12989381	14038016	13520076	1.84e-9
10	14697549	17232122	16709165	6.93e-16
10	17748338	18924641	18260960	2.76e-14
10	20571771	23051023	21541175	2.32e-31
10	26434713	27729452	27093307	5.43e-10
10	32927047	35238517	33698401	2.72e-15
10	51360059	52431212	51884228	1.59e-13
10	54046935	55060053	54560053	6.77e-9
10	60450247	61898458	61398458	5.13e-11
10	62729171	64090519	63431885	1.90e-9
10	65720135	67566644	66220135	7.91e-10
10	73487179	76401007	75460186	8.15e-14
10	76497057	77606538	77001201	4.27e-9
10	77942529	79798270	79286508	1.08e-9
10	85036048	87066006	85731093	2.91e-27
10	90745700	93228044	91603531	1.91e-12
10	96729002	98785390	98254058	4.08e-22
10	100131323	104148362	100652147	1.21e-35
10	104181150	106520272	105809058	4.07e-13
10	112461809	113648405	112998590	9.47e-49
10	113663015	114663015	114163015	4.60e-8
10	116287079	117637256	117017860	2.16e-20
10	118160432	119251944	118726512	1.17e-14
10	119709599	120810508	120302100	1.05e-13
10	122667312	123996579	123470670	2.20e-15
10	124384159	125838092	124995565	1.42e-16
10	126275450	127278689	126775450	9.63e-9
10	129485064	133826066	132165458	5.58e-20
11	1	1550719	838842	1.83e-16
11	1634646	3371007	2178456	3.29e-13
11	5718114	6718114	6218114	1.77e-8
11	7866259	9173283	8617653	6.69e-22
11	10620005	12487593	11758689	9.91e-12
11	12709086	13839977	13324046	3.87e-20
11	14527053	15527053	15027053	3.85e-8
11	15886990	18869690	17362951	1.81e-14
11	26057188	31049134	27658369	4.05e-87
11	38074209	39082930	38582930	2.13e-8
11	42811346	44428171	43828363	1.20e-33
11	44757837	51104976	47508395	5.32e-64
11	54528150	59166759	57302696	5.08e-14
11	61389638	62389638	61889638	3.44e-8
11	63543093	66793075	65821467	1.74e-26
11	67876515	70194575	69491811	2.58e-19
11	72208469	73510226	72733538	1.19e-12
11	76253768	77269211	76768347	4.82e-9
11	77706259	79898546	78322974	7.74e-11
11	82771582	84338101	83723139	1.04e-10
11	84402813	86564922	85069124	3.98e-14
11	86973103	88010298	87510298	1.30e-8
11	89016771	90966733	90257112	6.45e-17
11	92084367	94033603	93479088	9.55e-18
11	97429490	98484834	97954792	3.09e-9
11	99802762	100818598	100314396	3.93e-9
11	105570777	107603240	107032621	1.03e-10
11	110612796	111617144	111112796	3.93e-8
11	112318009	116055470	115174130	1.36e-28
11	116377505	117707940	116898198	5.71e-11
11	118025616	120886136	119078621	2.70e-16
11	121539462	123394959	122656412	6.34e-14
11	124454170	125535498	125035498	1.39e-8
11	130334758	135241913	130879456	4.20e-19
12	253475	2561539	882140	7.63e-37
12	3775678	4912345	4275678	1.52e-17
12	13760087	15283051	14358745	6.20e-10
12	15772226	20427841	17935499	7.41e-15
12	20838235	21838235	21338235	3.49e-8
12	22607382	25016167	23922574	2.39e-13
12	27587893	29073702	28113042	4.45e-9
12	32600579	35179674	33227644	1.55e-19
12	37162347	39654687	39049166	1.67e-16
12	40830490	43033785	41491878	4.75e-26
12	45936158	48249532	46482509	1.17e-8
12	48412004	50398695	49869365	6.16e-91
12	50693512	51699833	51199833	4.86e-9
12	52744239	54808735	54266643	1.49e-14
12	55475722	58746746	57217502	4.76e-20
12	60059691	61074455	60570327	2.84e-9
12	61690452	62744562	62225863	3.76e-8
12	65433852	66458046	65949620	5.22e-9
12	66550802	68219125	67072047	2.25e-9
12	68728581	69824546	69282790	2.75e-10
12	71128211	72332571	71785666	8.28e-15
12	74685058	75706432	75187590	8.23e-9
12	80354560	81354560	80854560	3.79e-8
12	81404277	82574256	82066214	2.40e-13
12	88824319	91383568	89346295	5.29e-15
12	96608042	98051434	97524288	7.73e-9
12	98746166	99746166	99246166	1.18e-8
12	102732463	103878999	103307759	8.68e-32
12	104553852	105718126	105053852	2.98e-9
12	106317547	108595069	107319919	1.11e-11
12	108950353	114629682	110381334	5.83e-16
12	116015629	118466693	117539745	2.43e-9
12	119908410	124553028	122458684	5.46e-26
12	131242661	133411188	132724914	4.69e-12
13	19542417	20542417	20042417	1.70e-12
13	21715065	22715065	22215065	2.82e-8
13	26713196	28612947	27448777	5.81e-30
13	29922080	30969704	30469704	1.19e-14
13	31922195	33307890	32573411	1.83e-16
13	34451202	36416019	35500644	2.78e-14
13	39668117	41154500	40210677	6.90e-22
13	49222194	51994921	50164836	7.23e-11
13	52236195	57038590	53533448	2.24e-41
13	57176188	60608915	58601593	7.31e-40
13	61607703	62614077	62110317	3.65e-8
13	63725687	64725687	64225687	3.01e-8
13	64744324	67432311	65629995	4.52e-39
13	71294066	72313701	71797714	4.51e-10
13	77287810	79520791	79013706	3.75e-30
13	80016352	81050949	80530125	7.39e-9
13	85275694	86654906	85775694	3.64e-8
13	87908293	89076063	88457632	1.55e-11
13	89245875	90278206	89745875	2.19e-8
13	95039346	99093612	96331686	7.25e-25
13	99393891	100396201	99893891	2.22e-8
13	102916066	103940000	103433697	1.00e-10
13	110322106	112161345	111535889	4.72e-18
14	20956048	22010143	21500370	3.40e-12
14	22778729	23825634	23285371	4.65e-13
14	24720273	27666076	25458626	4.12e-40
14	28261007	30571903	29260355	2.32e-36
14	32288685	33390767	32829525	7.93e-50
14	33736404	35841434	35241377	6.79e-10
14	39782416	41833274	40802197	1.96e-11
14	41910138	42998044	42470268	1.09e-11
14	45823300	47447308	46829096	2.31e-21
14	55477950	56511456	55993968	1.48e-9
14	57938231	58988812	58488812	5.08e-9
14	61392129	62655999	61892129	2.68e-11
14	64901229	66549950	65631641	4.56e-10
14	68783785	69836722	69324061	2.98e-10
14	71307375	75705477	73677562	2.94e-15
14	76540862	77605540	77063440	2.86e-14
14	78487519	80168716	79478819	1.02e-56
14	81173040	82960685	81754981	5.23e-10
14	83940933	84950864	84442645	9.61e-10
14	87249970	88531778	87886294	1.42e-17
14	90229028	91716500	91081219	8.28e-23
14	92697528	94317971	93434263	1.76e-29
14	96211359	99762783	99233743	4.68e-20
14	100178259	104647826	101065517	6.36e-23
15	26255970	27297664	26796068	1.01e-10
15	29061790	30066768	29561790	9.63e-9
15	31049657	32275922	31585487	4.28e-9
15	34960989	38112153	36099692	1.92e-19
15	40261891	42390590	41664497	5.68e-18
15	42486528	48188828	46197973	2.02e-21
15	48500997	49814123	49000997	5.53e-10
15	50903538	53746093	53183311	2.79e-18
15	54514622	56030291	55146541	2.99e-13
15	56035896	57792698	56828791	5.69e-15
15	58045839	62584197	60616108	3.99e-15
15	62943544	68520454	67780120	2.32e-61
15	69930265	70932074	70430676	2.74e-8
15	71326436	75591287	72798942	1.46e-23
15	75630512	79680180	78608359	3.21e-13
15	80185916	83780837	82747426	4.13e-14
15	88884958	89917055	89417055	7.87e-12
15	90893208	93515948	92029452	1.74e-15
15	94206673	95238444	94727238	4.65e-14
15	98179280	99554124	98974390	2.20e-16
15	99652748	100652748	100152748	5.12e-10
16	1	883552	283017	1.76e-25
16	1234071	7394308	3965728	3.68e-64
16	7691033	10143594	9626273	2.26e-13
16	14085170	16153255	15043593	6.77e-18
16	18974113	20902454	19922278	5.05e-45
16	23244895	25736653	24722430	6.75e-18
16	27479030	31866914	28871920	1.24e-81
16	48476886	49831023	49031331	1.24e-18
16	52002973	55430715	53767042	6.15e-741
16	55813560	57008683	56317795	8.64e-10
16	57995711	59318494	58515300	2.25e-16
16	62242421	63629995	62804832	5.75e-16
16	63723510	64771819	64266888	4.36e-10
16	65393899	66461210	65928903	5.69e-12
16	66645070	74752678	69617963	3.86e-38
16	76163728	77751028	77228046	1.19e-9
16	80883094	83360388	82432361	1.41e-12
16	87311366	88311366	87811366	2.46e-8
16	88405275	90607684	89586388	5.64e-11
17	1214968	3062202	1921011	2.94e-17
17	3498869	6012364	4897868	5.94e-17
17	6697973	8499732	7668434	2.96e-22
17	9576745	10580791	10080017	2.00e-8
17	16963063	18635949	17793217	2.76e-10
17	20701646	21880195	21358248	1.47e-17
17	27491561	32640497	29986176	2.51e-14
17	32644157	33922168	33144157	3.07e-11
17	35967352	38354882	36510707	2.66e-31
17	39469978	40562520	39998342	3.67e-10
17	40580928	41926399	41102521	1.58e-13
17	42433666	44759723	44203914	5.85e-19
17	44801335	50010350	48174984	2.67e-27
17	54341384	55372246	54849040	3.23e-13
17	56756534	58599184	57477893	1.87e-16
17	63004530	64391439	63589646	1.02e-13
17	66466002	68602838	67841099	8.34e-18
17	69839189	70982926	70351774	3.51e-12
17	72206228	74258740	73139660	3.52e-10
17	75259437	76458321	75872207	2.57e-14
17	77212210	82727679	80783826	5.91e-36
18	368006	3183241	1840657	5.88e-31
18	7035619	8067805	7548503	2.49e-9
18	12648924	13722598	13182326	2.96e-11
18	22845802	27245074	23517496	1.08e-44
18	28022096	29074755	28523437	6.37e-10
18	29098191	30147244	29612643	1.40e-8
18	30363582	31370082	30863582	1.29e-8
18	32484676	35276846	33671312	5.32e-11
18	36524132	37841664	37189043	1.14e-8
18	38084120	39873640	39034322	1.87e-11
18	41387243	44060178	43164825	3.90e-15
18	44495696	45891295	45360534	1.61e-12
18	46735802	47774144	47271326	1.01e-9
18	47889901	49964790	48394843	5.21e-14
18	52203746	55659523	54817068	7.86e-18
18	58708996	61571705	60183694	3.17e-190
18	62678651	63711650	63178651	1.60e-15
18	65059284	66294402	65774516	5.96e-23
18	71054726	72083251	71557242	2.83e-17
18	74910643	76992398	75789520	2.90e-13
18	78434952	79496673	78993063	5.55e-13
19	533411	2745623	2245623	1.47e-28
19	2851433	5675613	4067316	2.05e-20
19	10147666	11487920	10987920	3.38e-11
19	12265464	14347694	12885926	1.46e-13
19	17568862	20204832	18701975	6.14e-44
19	29249945	31241011	29806670	9.11e-25
19	31831442	34356837	33816097	9.56e-29
19	37753244	38934829	38264704	4.57e-11
19	44239483	46497603	45677156	7.78e-65
